Wall time,Step,Value
1521751188.988801,15720,0.3431672751903534
1521751202.0252728,15760,0.3969801068305969
1521751215.0477142,15800,0.32989218831062317
1521751228.0591316,15840,0.3261094391345978
1521751234.580374,15860,0.41910097002983093
1521751241.0835788,15880,0.3646838068962097
1521751247.5877826,15900,0.3506085276603699
1521751254.1050324,15920,0.31723445653915405
1521751260.6142359,15940,0.34966859221458435
1521751273.641685,15980,0.3786405324935913
1521751291.7748525,16020,0.3327811062335968
1521751304.8005447,16060,0.3272775113582611
1521751324.377307,16120,0.3919675350189209
1521751330.8815126,16140,0.3602597415447235
1521751337.3937287,16160,0.30744296312332153
1521751343.903947,16180,0.38841626048088074
1521751350.4111588,16200,0.32795894145965576
1521751376.4550393,16280,0.35222700238227844
1521751389.4684608,16320,0.30479884147644043
1521751395.9836903,16340,0.31587958335876465
1521751408.9961097,16380,0.33001708984375
1521751428.5207522,16440,0.3770654797554016
1521751441.565393,16480,0.3929045498371124
1521751448.0724597,16500,0.3263487219810486
1521751454.5846758,16520,0.40426719188690186
1521751474.097292,16580,0.34318405389785767
1521751493.6058993,16640,0.335965096950531
1521751500.1070979,16660,0.3871757686138153
1521751513.1114995,16700,0.3089635968208313
1521751526.136059,16740,0.2898872196674347
1521751539.15538,16780,0.2986483871936798
1521751545.6545746,16800,0.3259308338165283
1521751571.7595716,16880,0.30810293555259705
1521751584.744949,16920,0.33797213435173035
1521751591.2361257,16940,0.3533981740474701
1521751597.7283046,16960,0.3201274871826172
1521751604.2395253,16980,0.3477820158004761
1521751617.2379143,17020,0.3411164879798889
1521751623.7341018,17040,0.3184889554977417
1521751636.7445168,17080,0.4145233929157257
1521751662.7292492,17160,0.3213322162628174
1521751675.7196395,17200,0.4360182285308838
1521751682.2438886,17220,0.37701770663261414
1521751688.7480943,17240,0.34802165627479553
1521751695.2362473,17260,0.37039387226104736
1521751701.7246008,17280,0.40967294573783875
1521751727.6851335,17360,0.32766976952552795
1521751740.6724982,17400,0.30690431594848633
1521751747.1816971,17420,0.33766597509384155
1521751766.70335,17480,0.34585511684417725
1521751773.1915205,17500,0.34571176767349243
1521751779.681695,17520,0.3274504244327545
1521751786.165839,17540,0.35170167684555054
1521751792.6570318,17560,0.3575699031352997
1521751805.6954925,17600,0.3397403657436371
1521751812.1776671,17620,0.3724125623703003
1521751818.675842,17640,0.3499932885169983
1521751825.1800644,17660,0.33369916677474976
